school_name,ad,pri_pub,active_stu,lat,lng,private
The MacDuffie School,F‐1,"Private, unspecified",192,42.2688903,-72.4740814,True
Cushing Academy,F‐1,"Private, unspecified",192,42.63308420000001,-71.9127165,True
Westlake Preparatory School,F‐1,"Private, unspecified",189,26.043362,-80.26657879999999,True
Robert Louis Stevenson School,F‐1,"Private, non‐profit",186,40.777931,-73.97630099999999,True
Archdiocese of Detroit,F‐1,"Private, non‐profit",185,42.3327347,-83.0486047,True
Paterson Diocesan Schools,F‐1,"Private, non‐profit",183,40.89176519999999,-74.1383811,True
Lydia Patterson Institute,F‐1,"Private, unspecified",182,31.7552261,-106.4818811,True
Diocese of Arlington ‐ Office of Catholic Schools,F‐1,"Private, unspecified",180,38.872122,-77.10364899999999,True
Glendale Adventist Academy,F‐1,"Private, unspecified",179,34.1576263,-118.2267126,True
Whittier Christian High School Association,F‐1,"Private, non‐profit",179,33.934819,-117.968194,True
Marianapolis Preparatory School,F‐1,"Private, unspecified",179,41.9561365,-71.8684512,True
Lancaster Mennonite School,F‐1,"Private, non‐profit",178,40.0275048,-76.2271566,True
Western Christian Schools,F‐1,"Private, non‐profit",178,34.1260131,-117.6993931,True
Cheshire Academy,F‐1,"Private, non‐profit",177,41.4992155,-72.89985659999999,True
San Gabriel Academy,F‐1,"Private, non‐profit",176,34.0994306,-118.0764427,True
Diocese of Orange,F‐1,"Private, unspecified",175,33.7884471,-117.900887,True
Rabun Gap‐Nacoochee School,F‐1,"Private, non‐profit",173,34.9618615,-83.390914,True
New Mexico Military Institute,F‐1,"Private, non‐profit",172,33.4088123,-104.523154,True
Diocese of Manchester Catholic School Department,F‐1,"Private, non‐profit",170,42.997734,-71.45475569999999,True
Woodstock Academy,F‐1,"Private, non‐profit",168,41.951017,-71.975534,True
St. Paul Preparatory School,F‐1,"Private, non‐profit",168,44.948491,-93.0896911,True
Presbyterian Pan American School,F‐1,"Private, unspecified",168,27.448428,-97.86539499999999,True
Fei Tian Academy of the Arts,F‐1,"Private, non‐profit",166,41.45383169999999,-74.58892019999999,True
Word of Life Traditional School,F‐1,"Private, non‐profit",164,37.7531466,-97.3724543,True
MATER DEI HIGH SCHOOL,F‐1,"Private, non‐profit",161,33.7262194,-117.8841648,True
Liberty Christian Academy,F‐1,"Private, non‐profit",156,37.3604424,-79.1721689,True
Lake Shore Public Schools,F‐1,Public,156,42.5214879,-82.8909785,False
Southeastern CA Conference of Seventh‐day Adventist Schools,F‐1,"Private, non‐profit",156,33.9159966,-117.494167,True
Interlochen Arts Academy,F‐1,"Private, unspecified",156,44.6290799,-85.7673104,True
Leman Manhattan Preparatory School,F‐1,"Private, unspecified",155,40.7057417,-74.011207,True
Lake Forest Academy,F‐1,"Private, non‐profit",155,42.2476183,-87.8912989,True
Hebron Academy,F‐1,"Private, non‐profit",155,44.1986348,-70.40786109999999,True
Tacoma Public Schools #10,F‐1,Public,154,47.2439606,-122.4656821,False
Fryeburg Academy,F‐1,"Private, non‐profit",154,44.01989280000001,-70.975353,True
Kent Intermediate School District,F‐1,Public,153,42.99644660000001,-85.5984549,False
Arroyo Pacific Academy,F‐1,"Private, for profit",153,34.1440105,-118.032094,True
St. Croix Lutheran Schools,F‐1,"Private, non‐profit",153,44.9094687,-93.0729321,True
Mercyhurst Preparatory School,F‐1,"Private, non‐profit",152,42.1010169,-80.0508412,True
Evangel Christian School,F‐1,"Private, non‐profit",151,40.7542097,-73.9371118,True
Phillips Academy,F‐1,"Private, non‐profit",150,42.6471655,-71.13227959999999,True
Shattuck‐St. Mary's School,F‐1,"Private, non‐profit",148,44.3022459,-93.260187,True
Saint Andrew's School,F‐1,"Private, non‐profit",147,26.384682,-80.14710749999999,True
Catholic Diocese of Richmond,F‐1,"Private, non‐profit",146,37.6304405,-77.5303386,True
Gulliver Schools,F‐1,"Private, unspecified",145,35.65431,-78.64354800000001,True
Southwestern Academy,F‐1,"Private, non‐profit",144,34.115132,-118.13225,True
Oakland Schools,F‐1,Public,144,42.6502594,-83.3313433,False
